Taxa de acertos total: 89.56%
Taxa de acertos dig. 0: 98.2653%
Taxa de acertos dig. 1: 99.4714%
Taxa de acertos dig. 2: 89.438%
Taxa de acertos dig. 3: 84.9505%
Taxa de acertos dig. 4: 82.1792%
Taxa de acertos dig. 5: 86.3229%
Taxa de acertos dig. 6: 94.7808%
Taxa de acertos dig. 7: 90.5642%
Taxa de acertos dig. 8: 80.6982%
Taxa de acertos dig. 9: 87.3142%
