Taxa de acertos total: 90.57%
Taxa de acertos dig. 0: 98.3673%
Taxa de acertos dig. 1: 99.2952%
Taxa de acertos dig. 2: 89.7287%
Taxa de acertos dig. 3: 84.4554%
Taxa de acertos dig. 4: 87.8819%
Taxa de acertos dig. 5: 84.6413%
Taxa de acertos dig. 6: 95.4071%
Taxa de acertos dig. 7: 94.2607%
Taxa de acertos dig. 8: 80.3901%
Taxa de acertos dig. 9: 89.4945%
